## Tue Apr 25 22:04:12 2023
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_cdfmdzp1 --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_cdfmdzp1 --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_cdfmdzp1/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
WP_000027050.1	500632.CLONEX_01829	1.03e-204	566.0	COG2367@1|root,COG2367@2|Bacteria,1TQFB@1239|Firmicutes,249R7@186801|Clostridia	186801|Clostridia	V	beta-lactamase	-	-	3.5.2.6	ko:K17836	ko00311,ko01130,ko01501,map00311,map01130,map01501	M00627,M00628	R06363	RC01499	ko00000,ko00001,ko00002,ko01000,ko01504	-	-	-	Beta-lactamase2
WP_017698152.1	272632.MSC_0008	4.51e-214	593.0	COG1079@1|root,COG1079@2|Bacteria,3WT8Q@544448|Tenericutes	544448|Tenericutes	U	Belongs to the binding-protein-dependent transport system permease family	rbsC-2	-	-	ko:K02057	-	M00221	-	-	ko00000,ko00002,ko02000	3.A.1.2	-	-	BPD_transp_2
WP_017698183.1	272632.MSC_0043	9.24e-182	507.0	COG1737@1|root,COG1737@2|Bacteria,3WT1F@544448|Tenericutes	544448|Tenericutes	K	Helix-turn-helix domain, rpiR family	-	-	-	-	-	-	-	-	-	-	-	-	HTH_6
WP_017698243.1	272632.MSC_0893	1.27e-143	406.0	COG0035@1|root,COG0035@2|Bacteria,3WSZU@544448|Tenericutes	544448|Tenericutes	F	Catalyzes the conversion of uracil and 5-phospho-alpha- D-ribose 1-diphosphate (PRPP) to UMP and diphosphate	upp	-	2.4.2.9	ko:K00761	ko00240,ko01100,map00240,map01100	-	R00966	RC00063	ko00000,ko00001,ko01000	-	-	-	UPRTase
WP_017698247.1	272632.MSC_0888	1.21e-110	320.0	COG0712@1|root,COG0712@2|Bacteria,3WTG2@544448|Tenericutes	544448|Tenericutes	C	F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation	atpH	-	-	ko:K02113	ko00190,ko00195,ko01100,map00190,map00195,map01100	M00157	-	-	ko00000,ko00001,ko00002,ko00194	3.A.2.1	-	-	OSCP
WP_017698268.1	272632.MSC_0848	6.34e-132	374.0	COG0634@1|root,COG0634@2|Bacteria,3WTBN@544448|Tenericutes	544448|Tenericutes	F	Phosphoribosyl transferase domain	hpt-1	-	2.4.2.8	ko:K00760	ko00230,ko00983,ko01100,ko01110,map00230,map00983,map01100,map01110	-	R00190,R01132,R01229,R02142,R08237,R08238,R08245	RC00063,RC00122	ko00000,ko00001,ko01000	-	-	-	Pribosyltran
WP_017698330.1	272632.MSC_0730	4.82e-121	346.0	COG0097@1|root,COG0097@2|Bacteria,3WT1B@544448|Tenericutes	544448|Tenericutes	J	This protein binds to the 23S rRNA, and is important in its secondary structure. It is located near the subunit interface in the base of the L7 L12 stalk, and near the tRNA binding site of the peptidyltransferase center	rplF	-	-	ko:K02933	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L6
WP_017698332.1	272632.MSC_0724	3.05e-184	511.0	COG0024@1|root,COG0024@2|Bacteria,3WT36@544448|Tenericutes	544448|Tenericutes	E	Methionine aminopeptidase	map	-	3.4.11.18	ko:K01265	-	-	-	-	ko00000,ko01000,ko01002	-	-	-	Peptidase_M24
WP_017698340.1	272632.MSC_0713	1.25e-102	297.0	COG0102@1|root,COG0102@2|Bacteria,3WTDG@544448|Tenericutes	544448|Tenericutes	J	This protein is one of the early assembly proteins of the 50S ribosomal subunit, although it is not seen to bind rRNA by itself. It is important during the early stages of 50S assembly	rplM	-	-	ko:K02871	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L13
WP_017698346.1	272632.MSC_0704	4.47e-199	553.0	COG1131@1|root,COG1131@2|Bacteria,3WSYM@544448|Tenericutes	544448|Tenericutes	V	AAA domain, putative AbiEii toxin, Type IV TA system	yxlF_2	-	-	ko:K01990	-	M00254	-	-	ko00000,ko00002,ko02000	3.A.1	-	-	ABC2_membrane_2,ABC_tran
WP_017698349.1	880447.MSB_A0668	0.0	894.0	COG0531@1|root,COG0531@2|Bacteria,3WTCA@544448|Tenericutes	544448|Tenericutes	E	Amino acid permease	-	-	-	ko:K20265	ko02024,map02024	-	-	-	ko00000,ko00001,ko02000	2.A.3.7.1,2.A.3.7.3	-	-	AA_permease_2
WP_017698350.1	272632.MSC_0701	1.27e-276	754.0	COG2957@1|root,COG2957@2|Bacteria,3WT2Z@544448|Tenericutes	544448|Tenericutes	E	Porphyromonas-type peptidyl-arginine deiminase	aguA	-	3.5.3.12	ko:K10536	ko00330,ko01100,map00330,map01100	-	R01416	RC00177	ko00000,ko00001,ko01000	-	-	-	PAD_porph
WP_017698372.1	272632.MSC_0610	0.0	1078.0	COG0443@1|root,COG0443@2|Bacteria,3WT0V@544448|Tenericutes	544448|Tenericutes	O	Heat shock 70 kDa protein	dnaK	-	-	ko:K04043	ko03018,ko04212,ko05152,map03018,map04212,map05152	-	-	-	ko00000,ko00001,ko03019,ko03029,ko03110,ko04147	1.A.33.1	-	-	HSP70
WP_017698374.1	272632.MSC_0613	0.0	1191.0	COG0542@1|root,COG0542@2|Bacteria,3WSUI@544448|Tenericutes	544448|Tenericutes	O	Belongs to the ClpA ClpB family	clpB	-	-	ko:K03695	ko04213,map04213	-	-	-	ko00000,ko00001,ko03110	-	-	-	AAA,AAA_2,ClpB_D2-small
WP_017698376.1	272632.MSC_0615	1.34e-132	375.0	COG0219@1|root,COG0219@2|Bacteria,3WT7U@544448|Tenericutes	544448|Tenericutes	J	Belongs to the class IV-like SAM-binding methyltransferase superfamily. RNA methyltransferase TrmH family. TrmL subfamily	cspR	-	2.1.1.207	ko:K03216	-	-	-	-	ko00000,ko01000,ko03016	-	-	-	SpoU_methylase
WP_020862418.1	272632.MSC_0003	3.42e-118	338.0	COG1658@1|root,COG1658@2|Bacteria,3WTD2@544448|Tenericutes	544448|Tenericutes	J	Required for correct processing of both the 5' and 3' ends of 5S rRNA precursor. Cleaves both sides of a double-stranded region yielding mature 5S rRNA in one step	rnmV	-	3.1.26.8	ko:K05985	-	-	-	-	ko00000,ko01000	-	-	-	DUF4093,Toprim,Toprim_2
WP_020862419.1	272632.MSC_0004	2.02e-176	493.0	COG0030@1|root,COG0030@2|Bacteria,3WTCB@544448|Tenericutes	544448|Tenericutes	J	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a conserved hairpin near the 3'-end of 16S rRNA in the 30S particle. May play a critical role in biogenesis of 30S subunits	ksgA	-	2.1.1.182	ko:K02528	-	-	R10716	RC00003,RC03257	ko00000,ko01000,ko03009	-	-	-	RrnaAD
WP_020862420.1	272632.MSC_0005	9.35e-156	449.0	2B67Q@1|root,31Z4X@2|Bacteria,3WUE5@544448|Tenericutes	544448|Tenericutes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_020862421.1	272632.MSC_0006	0.0	1244.0	COG0187@1|root,COG0187@2|Bacteria,3WSVJ@544448|Tenericutes	544448|Tenericutes	L	A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner	gyrB	-	5.99.1.3	ko:K02470	-	-	-	-	ko00000,ko01000,ko03032,ko03400	-	-	-	DNA_gyraseB,DNA_gyraseB_C,HATPase_c,Toprim
WP_020862422.1	272632.MSC_0007	0.0	1606.0	COG0188@1|root,COG0188@2|Bacteria,3WSVS@544448|Tenericutes	544448|Tenericutes	L	A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner	gyrA	-	5.99.1.3	ko:K02469	-	-	-	-	ko00000,ko01000,ko03032,ko03400	-	-	-	DNA_gyraseA_C,DNA_topoisoIV
WP_020862423.1	272632.MSC_0009	0.0	1209.0	COG4603@1|root,COG4603@2|Bacteria,3WT29@544448|Tenericutes	544448|Tenericutes	U	Belongs to the binding-protein-dependent transport system permease family	rbsC-1	-	-	ko:K02057	-	M00221	-	-	ko00000,ko00002,ko02000	3.A.1.2	-	-	BPD_transp_2
WP_020862424.1	272632.MSC_0010	0.0	993.0	COG3845@1|root,COG3845@2|Bacteria,3WSUM@544448|Tenericutes	544448|Tenericutes	S	abc transporter atp-binding protein	mglA	-	3.6.3.17	ko:K02056	-	M00221	-	-	ko00000,ko00002,ko01000,ko02000	3.A.1.2	-	-	ABC_tran
WP_020862425.1	272632.MSC_0011	0.0	1039.0	COG1744@1|root,COG1744@2|Bacteria,3WT87@544448|Tenericutes	544448|Tenericutes	S	ABC transporter substrate-binding protein PnrA-like	-	-	-	ko:K07335	-	-	-	-	ko00000	-	-	-	Bmp
WP_020862426.1	272632.MSC_0012	0.0	985.0	COG0143@1|root,COG0143@2|Bacteria,3WSXZ@544448|Tenericutes	544448|Tenericutes	J	Is required not only for elongation of protein synthesis but also for the initiation of all mRNA translation through initiator tRNA(fMet) aminoacylation	metG	-	6.1.1.10	ko:K01874	ko00450,ko00970,map00450,map00970	M00359,M00360	R03659,R04773	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016	-	-	-	Anticodon_1,tRNA-synt_1g
WP_020862427.1	272632.MSC_0240	6e-103	327.0	2BK5Q@1|root,32EJB@2|Bacteria,3WTAG@544448|Tenericutes	544448|Tenericutes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_020862428.1	272632.MSC_0013	4.57e-285	790.0	2BK5Q@1|root,32EJB@2|Bacteria,3WTAG@544448|Tenericutes	544448|Tenericutes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_020862429.1	1179777.D500_0456	5.76e-123	371.0	2BK5Q@1|root,31Z6X@2|Bacteria,3WUGV@544448|Tenericutes	544448|Tenericutes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_020862430.1	272632.MSC_0014	3.74e-285	790.0	2BK5Q@1|root,31YVH@2|Bacteria,3WU1T@544448|Tenericutes	544448|Tenericutes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_020862433.1	880447.MSB_A0038	1.81e-226	625.0	COG0246@1|root,COG0246@2|Bacteria,3WTEC@544448|Tenericutes	544448|Tenericutes	C	Mannitol-1-phosphate	mtlD	-	1.1.1.17	ko:K00009	ko00051,map00051	-	R02703	RC00085	ko00000,ko00001,ko01000	-	-	-	Mannitol_dh,Mannitol_dh_C
WP_020862434.1	272632.MSC_0018	6.34e-184	512.0	COG1737@1|root,COG1737@2|Bacteria,3WT8K@544448|Tenericutes	544448|Tenericutes	K	Helix-turn-helix domain, rpiR family	-	-	-	-	-	-	-	-	-	-	-	-	HTH_6,SIS
WP_020862435.1	880447.MSB_A0036	2.51e-89	262.0	COG4668@1|root,COG4668@2|Bacteria,3WU6S@544448|Tenericutes	544448|Tenericutes	G	Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2	-	-	2.7.1.197	ko:K02538,ko:K02798	ko00051,ko02060,map00051,map02060	M00274	R02704	RC00017,RC03206	ko00000,ko00001,ko00002,ko01000,ko02000,ko03000	4.A.2.1.12,4.A.2.1.2,4.A.2.1.24,4.A.2.1.5	-	-	PTS_EIIA_2
WP_020862436.1	272632.MSC_0020	6.05e-171	478.0	COG1028@1|root,COG1028@2|Bacteria,3WU16@544448|Tenericutes	544448|Tenericutes	IQ	KR domain	srlD	-	1.1.1.140	ko:K00068	ko00051,map00051	-	R05607	RC00085	ko00000,ko00001,ko01000	-	-	-	adh_short
WP_020862437.1	272632.MSC_0021	0.0	1006.0	COG2213@1|root,COG2213@2|Bacteria,3WT5T@544448|Tenericutes	544448|Tenericutes	G	PTS System	-	-	2.7.1.197	ko:K02799,ko:K02800	ko00051,ko02060,map00051,map02060	M00274	R02704	RC00017,RC03206	ko00000,ko00001,ko00002,ko01000,ko02000	4.A.2.1.12,4.A.2.1.2,4.A.2.1.24,4.A.2.1.5	-	-	PTS_EIIC,PTS_IIB
WP_020862438.1	272632.MSC_0030	3.16e-235	648.0	COG1136@1|root,COG1136@2|Bacteria,3WSX2@544448|Tenericutes	544448|Tenericutes	V	abc transporter atp-binding protein	-	-	-	ko:K02003	-	M00258	-	-	ko00000,ko00002,ko02000	3.A.1	-	-	ABC_tran
WP_020862439.1	272632.MSC_0031	5.47e-204	565.0	COG1281@1|root,COG1281@2|Bacteria,3WTC8@544448|Tenericutes	544448|Tenericutes	O	Redox regulated molecular chaperone. Protects both thermally unfolding and oxidatively damaged proteins from irreversible aggregation. Plays an important role in the bacterial defense system toward oxidative stress	hslO	-	-	ko:K04083	-	-	-	-	ko00000,ko03110	-	-	-	HSP33
WP_020862440.1	272632.MSC_0032	0.0	1407.0	2BK49@1|root,31Z48@2|Bacteria,3WUD1@544448|Tenericutes	544448|Tenericutes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_020862441.1	1179777.D500_0156	0.0	1317.0	2BK49@1|root,31Z48@2|Bacteria,3WUD1@544448|Tenericutes	1179777.D500_0156|-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_020862442.1	272632.MSC_0033	0.0	3379.0	COG0577@1|root,COG0577@2|Bacteria,3WU33@544448|Tenericutes	544448|Tenericutes	V	FtsX-like permease family	-	-	-	-	-	-	-	-	-	-	-	-	FtsX
WP_020862443.1	880447.MSB_A0023	2.04e-76	240.0	COG3291@1|root,COG3291@2|Bacteria,3WUGE@544448|Tenericutes	2|Bacteria	S	This ORF contains tandem Palindromic Amphipathic Repeat Coding ELements	-	-	-	-	-	-	-	-	-	-	-	-	DUF285
WP_020862444.1	880447.MSB_A0019	2.33e-238	655.0	COG1052@1|root,COG1052@2|Bacteria,3WSZZ@544448|Tenericutes	544448|Tenericutes	C	Belongs to the D-isomer specific 2-hydroxyacid dehydrogenase family	ldhA	-	1.1.1.28	ko:K03778	ko00620,ko01120,map00620,map01120	-	R00704	RC00044	ko00000,ko00001,ko01000	-	-	-	2-Hacid_dh,2-Hacid_dh_C
WP_020862445.1	272632.MSC_0035	7.75e-258	708.0	COG0679@1|root,COG0679@2|Bacteria,3WTAY@544448|Tenericutes	544448|Tenericutes	S	Membrane transport protein	-	-	-	ko:K07088	-	-	-	-	ko00000	-	-	-	Mem_trans
WP_020862447.1	272632.MSC_0039	0.0	1184.0	COG0465@1|root,COG0465@2|Bacteria,3WSUZ@544448|Tenericutes	544448|Tenericutes	O	Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins	ftsH	-	-	ko:K03798	-	M00742	-	-	ko00000,ko00002,ko01000,ko01002,ko03110	-	-	-	AAA,Peptidase_M41
WP_020862448.1	880447.MSB_A0014	1.09e-157	447.0	2F0RV@1|root,33TU4@2|Bacteria,3WTFM@544448|Tenericutes	544448|Tenericutes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	DUF3800
WP_020862449.1	272632.MSC_0042	7.04e-270	741.0	COG0037@1|root,COG0037@2|Bacteria,3WTGG@544448|Tenericutes	544448|Tenericutes	D	Ligates lysine onto the cytidine present at position 34 of the AUA codon-specific tRNA(Ile) that contains the anticodon CAU, in an ATP-dependent manner. Cytidine is converted to lysidine, thus changing the amino acid specificity of the tRNA from methionine to isoleucine	tilS	-	2.4.2.8,6.3.4.19	ko:K04075,ko:K15780	ko00230,ko01100,ko01110,map00230,map01100,map01110	-	R01132,R01229,R02142,R09597	RC00063,RC00122,RC02633,RC02634	ko00000,ko00001,ko01000,ko03016	-	-	-	ATP_bind_3,TilS_C
WP_020862450.1	272632.MSC_0044	8.03e-170	474.0	COG4123@1|root,COG4123@2|Bacteria,3WT1N@544448|Tenericutes	544448|Tenericutes	S	Methyltransferase small domain	yabB	-	2.1.1.223	ko:K15460	-	-	-	-	ko00000,ko01000,ko03016	-	-	-	MTS
WP_020862451.1	272632.MSC_0045	1.17e-165	464.0	COG0470@1|root,COG0470@2|Bacteria,3WTAZ@544448|Tenericutes	544448|Tenericutes	L	DNA polymerase III, delta subunit	holB	-	2.7.7.7	ko:K02341	ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440	M00260	R00375,R00376,R00377,R00378	RC02795	ko00000,ko00001,ko00002,ko01000,ko03032,ko03400	-	-	-	DNA_pol3_delta2
WP_020862452.1	272632.MSC_0046	5.42e-141	399.0	COG0125@1|root,COG0125@2|Bacteria,3WTCT@544448|Tenericutes	544448|Tenericutes	F	Phosphorylation of dTMP to form dTDP in both de novo and salvage pathways of dTTP synthesis	tmk	-	2.7.4.9	ko:K00943	ko00240,ko01100,map00240,map01100	M00053	R02094,R02098	RC00002	ko00000,ko00001,ko00002,ko01000	-	-	-	Thymidylate_kin
WP_020862453.1	1179777.D500_0371	8.37e-123	352.0	COG0353@1|root,COG0353@2|Bacteria,3WTQB@544448|Tenericutes	544448|Tenericutes	L	May play a role in DNA repair. It seems to be involved in an RecBC-independent recombinational process of DNA repair. It may act with RecF and RecO	recR	-	-	ko:K06187	ko03440,map03440	-	-	-	ko00000,ko00001,ko03400	-	-	-	RecR,Toprim_4
WP_020862454.1	272632.MSC_0048	0.0	1155.0	COG2812@1|root,COG2812@2|Bacteria,3WSY9@544448|Tenericutes	544448|Tenericutes	L	DNA polymerase III is a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria. This DNA polymerase also exhibits 3' to 5' exonuclease activity	dnaX	-	2.7.7.7	ko:K02343	ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440	M00260	R00375,R00376,R00377,R00378	RC02795	ko00000,ko00001,ko00002,ko01000,ko03032,ko03400	-	-	-	DNA_pol3_delta2,DNA_pol3_gamma3
WP_020862455.1	272632.MSC_0049	7.52e-88	259.0	COG0590@1|root,COG0590@2|Bacteria,3WTM1@544448|Tenericutes	544448|Tenericutes	FJ	cytidine and deoxycytidylate deaminase	codA	-	3.5.4.1,3.5.4.33	ko:K01485,ko:K11991	ko00240,ko00330,ko01100,map00240,map00330,map01100	-	R00974,R01411,R02922,R10223	RC00074,RC00477,RC00514,RC00809	ko00000,ko00001,ko01000,ko03016	-	-	-	MafB19-deam,dCMP_cyt_deam_1
WP_020862456.1	272632.MSC_0050	9.72e-227	625.0	COG0516@1|root,COG0516@2|Bacteria,3WTC7@544448|Tenericutes	544448|Tenericutes	F	Catalyzes the irreversible NADPH-dependent deamination of GMP to IMP. It functions in the conversion of nucleobase, nucleoside and nucleotide derivatives of G to A nucleotides, and in maintaining the intracellular balance of A and G nucleotides	guaC	-	1.7.1.7	ko:K00364	ko00230,map00230	-	R01134	RC00457	ko00000,ko00001,ko01000	-	-	-	IMPDH
WP_020862457.1	880447.MSB_A0793	5.7e-20	87.0	2B6B1@1|root,31Z8Q@2|Bacteria,3WUJF@544448|Tenericutes	544448|Tenericutes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_020862458.1	1179777.D500_0366	1.54e-54	172.0	2CIGG@1|root,2ZTSJ@2|Bacteria,3WU7N@544448|Tenericutes	544448|Tenericutes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_020862459.1	272632.MSC_0053	1.86e-103	299.0	COG1225@1|root,COG1225@2|Bacteria,3WTMC@544448|Tenericutes	544448|Tenericutes	O	Redoxin	bcp	-	1.11.1.15	ko:K03564	-	-	-	-	ko00000,ko01000	-	-	-	AhpC-TSA
WP_020862460.1	880447.MSB_A0892	2.61e-177	502.0	2C57J@1|root,2Z88T@2|Bacteria,3WUJ7@544448|Tenericutes	544448|Tenericutes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_020862461.1	880447.MSB_A0891	1.03e-175	491.0	COG0338@1|root,COG0338@2|Bacteria,3WSZE@544448|Tenericutes	544448|Tenericutes	H	Site-specific DNA-methyltransferase (adenine-specific)	dam	-	2.1.1.72	ko:K06223	ko03430,map03430	-	-	-	ko00000,ko00001,ko01000,ko02048,ko03032,ko03400	-	-	-	DpnII,MethyltransfD12
WP_020862462.1	1179777.D500_0363	2.45e-40	135.0	2B6E0@1|root,31ZBV@2|Bacteria,3WUPX@544448|Tenericutes	544448|Tenericutes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_020862463.1	880447.MSB_A0889	3.25e-114	330.0	COG4720@1|root,COG4720@2|Bacteria,3WTM9@544448|Tenericutes	544448|Tenericutes	S	Psort location CytoplasmicMembrane, score	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_020862464.1	880447.MSB_A0888	1.56e-256	704.0	COG0686@1|root,COG0686@2|Bacteria,3WT6D@544448|Tenericutes	544448|Tenericutes	C	Alanine dehydrogenase/PNT, N-terminal domain	ald	-	1.4.1.1	ko:K00259	ko00250,ko00430,ko01100,map00250,map00430,map01100	-	R00396	RC00008	ko00000,ko00001,ko01000	-	-	-	AlaDh_PNT_C,AlaDh_PNT_N
WP_020862465.1	880447.MSB_A0887	1.54e-184	514.0	2F9TD@1|root,34235@2|Bacteria,3WT44@544448|Tenericutes	544448|Tenericutes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_020862466.1	272632.MSC_0066	1.05e-293	803.0	COG0172@1|root,COG0172@2|Bacteria,3WSVI@544448|Tenericutes	544448|Tenericutes	J	Catalyzes the attachment of serine to tRNA(Ser). Is also able to aminoacylate tRNA(Sec) with serine, to form the misacylated tRNA L-seryl-tRNA(Sec), which will be further converted into selenocysteinyl-tRNA(Sec)	serS	-	6.1.1.11	ko:K01875	ko00970,map00970	M00359,M00360	R03662,R08218	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016	-	-	-	Seryl_tRNA_N,tRNA-synt_2b
WP_020862467.1	272632.MSC_0067	1.8e-66	202.0	2CEX3@1|root,2ZXSX@2|Bacteria,3WTTB@544448|Tenericutes	544448|Tenericutes	S	Domain of unknown function (DUF1904)	-	-	-	-	-	-	-	-	-	-	-	-	DUF1904
WP_020862468.1	272632.MSC_0068	6.58e-227	625.0	COG0042@1|root,COG0042@2|Bacteria,3WSV1@544448|Tenericutes	544448|Tenericutes	J	Catalyzes the synthesis of 5,6-dihydrouridine (D), a modified base found in the D-loop of most tRNAs, via the reduction of the C5-C6 double bond in target uridines	dusB	-	-	-	-	-	-	-	-	-	-	-	Dus
WP_020862469.1	272632.MSC_0069	0.0	976.0	COG1190@1|root,COG1190@2|Bacteria,3WT4Y@544448|Tenericutes	544448|Tenericutes	J	Belongs to the class-II aminoacyl-tRNA synthetase family	lysS	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464	6.1.1.6	ko:K04567	ko00970,map00970	M00359,M00360	R03658	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016	-	-	-	tRNA-synt_2,tRNA_anti-codon
WP_020862470.1	272632.MSC_0072	1.14e-68	207.0	COG0526@1|root,COG0526@2|Bacteria,3WV3W@544448|Tenericutes	544448|Tenericutes	O	Belongs to the thioredoxin family	trxA	-	-	ko:K03671	ko04621,ko05418,map04621,map05418	-	-	-	ko00000,ko00001,ko03110	-	-	-	Thioredoxin
WP_020862471.1	272632.MSC_0073	2.25e-205	567.0	COG0561@1|root,COG0561@2|Bacteria,3WT8H@544448|Tenericutes	544448|Tenericutes	S	haloacid dehalogenase-like hydrolase	-	-	-	-	-	-	-	-	-	-	-	-	Hydrolase_3
WP_020862472.1	1179777.D500_0224	0.0	1145.0	COG2333@1|root,COG2333@2|Bacteria,3WTAM@544448|Tenericutes	544448|Tenericutes	S	Metallo-beta-lactamase superfamily	-	-	-	ko:K02238	-	M00429	-	-	ko00000,ko00002,ko02044	3.A.11.1,3.A.11.2	-	-	Competence,DUF4131,Lactamase_B
WP_020862473.1	272632.MSC_0077	0.0	1538.0	COG3639@1|root,COG3639@2|Bacteria,3WT91@544448|Tenericutes	544448|Tenericutes	U	Binding-protein-dependent transport system inner membrane component	phnE	-	-	ko:K02042	ko02010,map02010	M00223	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.9	-	-	BPD_transp_1
WP_020862474.1	272632.MSC_0078	2.57e-171	479.0	COG3638@1|root,COG3638@2|Bacteria,3WTFH@544448|Tenericutes	544448|Tenericutes	P	Part of the ABC transporter complex PhnCDE involved in phosphonates import. Responsible for energy coupling to the transport system	phnC	-	3.6.3.28	ko:K02041	ko02010,map02010	M00223	-	-	ko00000,ko00001,ko00002,ko01000,ko02000	3.A.1.9	-	-	ABC_tran
WP_020862475.1	1179777.D500_0227	1.24e-256	712.0	COG3221@1|root,COG3221@2|Bacteria,3WSZ9@544448|Tenericutes	544448|Tenericutes	P	ABC transporter, phosphonate, periplasmic substrate-binding protein	phnD	-	-	ko:K02044	ko02010,map02010	M00223	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.9	-	-	Phosphonate-bd
WP_020862476.1	272632.MSC_0081	1.24e-197	548.0	COG0561@1|root,COG0561@2|Bacteria,3WT70@544448|Tenericutes	544448|Tenericutes	S	Sucrose-6F-phosphate phosphohydrolase	-	-	-	-	-	-	-	-	-	-	-	-	Hydrolase_3
WP_020862477.1	272632.MSC_0082	1.2e-262	720.0	COG1073@1|root,COG1073@2|Bacteria,3WTB4@544448|Tenericutes	544448|Tenericutes	S	BAAT / Acyl-CoA thioester hydrolase C terminal	-	-	-	-	-	-	-	-	-	-	-	-	BAAT_C,FSH1
WP_020862478.1	272632.MSC_0083	6.52e-222	612.0	COG0533@1|root,COG0533@2|Bacteria,3WSXH@544448|Tenericutes	544448|Tenericutes	J	Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in tRNAs that read codons beginning with adenine. Is involved in the transfer of the threonylcarbamoyl moiety of threonylcarbamoyl-AMP (TC-AMP) to the N6 group of A37, together with TsaE and TsaB. TsaD likely plays a direct catalytic role in this reaction	gcp	-	2.3.1.234	ko:K01409	-	-	R10648	RC00070,RC00416	ko00000,ko01000,ko03016	-	-	-	Peptidase_M22
